0.0303607874,104.3652065377,104.3652065377,122.3901904753,94.8774604888,94.8774604888
4.7071870731,142.463777894,151.972607823,193.7971666527,289.2668956726,144.252083521
13.4593366927,187.9283263509,228.1486666554,287.2742253161,344.3021173668,195.8410264458
21.2071967928,260.2608447176,311.3341184135,394.041377188,413.457044311,254.6365269169
30.2158141084,360.6259711203,415.6430334334,498.1355968477,483.0623811018,316.5848963146
38.8106308896,475.8414104403,518.7050638612,605.4529994156,552.6677178926,384.3885937188
45.9414234944,584.0742960442,626.6417799682,715.5905395725,620.9218251435,457.5972092829
52.9365286315,705.6799500864,736.2484799488,825.4516496228,689.1759323943,536.2107430067
60.0732666462,836.2081230996,846.8283869194,936.0205465749,756.9796297985,618.4275555038
66.3743442588,966.2144212372,961.6550153013,1045.1628597048,823.4320976627,701.5451876941
72.6756861118,1097.2116210375,1070.1005515478,1154.3051728348,886.7316966004,787.3652789644
78.487258303,1219.2752918481,1180.6694484999,1273.3675126095,948.6800659982,871.8341406947
84.58236049,1360.1749022636,1291.2383454521,1391.7220654823,1006.574746776,956.303002425
90.0475575001,1488.83357414,1403.222816208,1500.7464141286,1062.2173783206,1038.9702247688
96.0014451901,1622.3795932169,1513.7917131601,1609.2989048402,1115.607960632,1119.8358077259
102.0962170765,1762.0405765541,1622.2372494066,1721.2833755962,1164.0440346301,1197.5485217564
107.5616342869,1891.524999816,1727.1438511437,1830.4366987445,1210.228059395,1271.6579570137
113.0267872569,2020.0185214153,1839.1393319181,1935.3433004816,1252.3583955401,1342.1641134978
119.1221536843,2161.9090334935,1953.2691834166,2045.4808406386,1291.3358627586,1409.5174010554
125.21646315,2299.835938921,2060.5865859845,2153.4175567456,1327.1604610505,1472.8169999931
130.5409080839,2422.8750973685,2172.1813807294,2264.0489748741,1361.1834199558,1531.6125004642
137.12419449,2566.7628267977,2281.3787439517,2373.2463380964,1391.1526902412,1587.7055418555
143.2839695254,2689.0852330425,2391.0275179314,2477.665353301,1419.7707309867,1638.8440749336
152.3877134006,2885.074571893,2497.7718490377,2586.5804596861,1444.3350831124,1685.9289193918
159.0365534567,3013.6881026937,2590.1415000248,2684.561616816,1467.0977958514,1730.3113047701
165.5427256934,3129.4980830113,2687.0779064926,2774.4353967061,1488.9596888971,1771.0904113752
172.6790673475,3258.5399035306,2774.6996371495,2855.3009796632,1507.6687130162,1807.3654195137
180.2321161807,3383.6313294215,2855.1148102599,2924.906316454,1525.4769174421,1841.3883784191
187.3642299877,3496.8187233387,2925.620966744,2987.3050956984,1541.4834824813,1872.2584683978
194.4944941116,3603.0698056174,2988.4701558351,3042.0469075497,1554.7875884406,1901.3269189899
202.7417025896,3720.2560382442,3045.9144267663,3089.5821618545,1567.1908747067,1927.2425006555
211.1247306555,3824.5649532641,3091.6480416845,3131.2620881529,1579.5941609727,1950.9060330878
219.2266068896,3918.956043643,3132.8775581363,3167.9875061382,1589.7453980054,1972.3175162869
228.8629273784,4023.3045947294,3168.2517465815,3200.2088256569,1599.8966350382,1992.377769946
237.9385296463,4113.7629065094,3196.0470386738,3228.3764565557,1607.7958228377,2010.1859743719
246.453149453,4189.3400773204,3218.8157568774,3252.039988988,1615.6950106372,2026.1925394111
255.6862390252,4261.1415457961,3352.8847518318,3273.0010623404,1622.638328651,2040.8478749104
266.2674172794,4340.3347736744,3368.5255840756,3290.8092667663,1623.638328651,2054.1519808697
276.3806697484,4405.4755479741,3379.7622087477,3306.8158318055,1627.638328651,2067.0056769824
286.2920771216,4459.6983160974,3388.5622162405,3320.1199377648,1628.638328651,2073.4985851495
296.7503363838,4513.1126342927,3398.7134532733,3332.5232240309,1629.638328651,2074.4985851495
