time, concentration
0.15042,7.4687
1.42279,4.38956
2.69308,2.9086
3.9509,3.95788
4.954,2.82048
6.0186,2.67981
7.88143,2.47987
10.40663,2.64478
12.86743,2.50238
15.92493,2.60139
19.51556,2.51254
21.70916,2.55666
23.96925,2.60104
